id,subject,prompt,A,B,C,D,E,answer
1113,us_history,William Levitt is often compared to Henry Ford because they both,invented new products that changed American society.,standardized production of particular products.,used extensive government funding to advance particular projects.,created products that only the wealthy could afford.,publicly supported the rise of fascism in Europe.,B
1114,us_history,Which of the following is associated with the Kennedy administration?,Medicare,Medicaid,Alliance for Progress,The 24th Amendment,The ESEA,C
1115,us_history,Baker v. Carr was concerned with,the Bill of Rights.,presidential succession.,criminal rights.,the poll tax.,legislative reapportionment.,E
1116,us_history,"Who of the following proposed that the nation declare a ""war on poverty""?",John F. Kennedy,Richard Nixon,Barry Goldwater,Lyndon B. Johnson,Earl Warren,D
1117,us_history,"According to the Immigration Act of 1965, the main criteria for admission to the United States would be an applicant's",gender.,race.,country of origin.,occupation.,education.,D
1118,us_history,Which organization was not involved in the Civil Rights Movement?,SNCC,UFW,CORE,SCLC,NAACP,B
1119,us_history,Place these Civil Rights milestones in chronological order. 1)    Montgomery bus boycott 2)    Birmingham desegregation demonstrations 3)    voting rights march from Selma to Montgomery 4)    Brown v. Board of Education 5)    Greensboro lunch counter sit-ins Answer choices:,"1, 4, 2, 5, 3","4, 1, 5, 2, 3","4, 5, 1, 2, 3","5, 2, 4, 1, 3","1, 5, 4, 3, 2",B
1120,us_history,The goal of the Freedom Rides was to desegregate,lunch counters.,school buses.,bus stations.,interstate buses.,trains.,C
1121,us_history,The landmark Brown v. the Board of Education Supreme Court decision on school desegregation was based on,the 14th Amendment equal protection clause.,"the 13th Amendment, which ended slavery.",the 5th Amendment due process clause.,the Bill of Rights.,the doctrine of strict scrutiny.,A
1122,us_history,Put the following events in order from oldest to most recent. 1)    Geneva Accords 2)    Tonkin Gulf 3)    Dien Bien Phu 4)    The Tet offensive 5)    The assassination of Ngo Dinh Diem Answer choices:,"2, 3, 4, 1, 5","4, 3, 2, 5, 1","3, 1, 5, 2, 4","3, 1, 4, 2, 5","2, 3, 5, 1, 4",C
1123,us_history,Nixon's policy in Vietnam was called,Rolling Thunder.,Vietnamization.,containment.,immediate withdrawal.,pacification.,B
1124,us_history,Vietnam revisionism is a belief that,immediate peace was necessary.,America lost the war because of a lack of congressional support.,the demonstrators lost the war.,the Army did not fight hard enough.,the Vietnamese were tougher than we had expected.,B
1125,us_history,"In 1968, President Johnson did not run for re-election because",he had already served two full terms.,he had lost the New Hampshire primary.,he wanted to negotiate a peace.,his health was failing.,Eugene McCarthy came in a close second in the New Hampshire primary.,E
1126,us_history,Which was the most important reason for the early growth of Students for a Democratic Society (SDS) and the Free Speech Movement (FSM)?,Drugs,Government lies,The high divorce rate,Optimism caused by the postwar boom,The nuclear threat,D
1127,us_history,Which did the Beatles influence the LEAST?,Students For a Democratic Society (SDS),American rock and roll,Hippies,Timothy Leary,Yippies,A
1128,us_history,Match the book and the author: A)    Growing Up Absurd B)    The Power Elite C)    The Art of Loving D)    The Way of Zen E)    Steal This Book 1)    Alan Watts 2)    Abbie Hoffman 3)    Paul Goodman 4)    C. Wright Mills 5)    Eric Fromm Answer choices:,"A-3, B-4, C-5, E-2","B-4, C-1, D-4, E-2","B-5, C-1, D-3, E-2","A-5, B-4, D-1, E-2","B-4, C-3, D-1, E-2",A
1129,us_history,The key reason for the slowing of protests after 1971 was that,America was winning in Vietnam.,the government became more responsive.,the draft ended.,all the major battles had been won.,the government cracked down on protesters.,C
1130,us_history,"Which of the following statements from the Seneca Falls Declaration of 1848 was NOT a concern of the feminist movement of the 1970s? I.    He has usurped the prerogative of Jehovah himself, claiming it as his right to assign for her a sphere of action, when that belongs to her conscience and to her God. II.   He has endeavored, in every way that he could, to destroy her confidence in her own powers, to lessen her self-respect and to make her willing to lead a dependent and abject life. III.  Now, in view of this entire disfranchisement of one-half the people in this country, we insist that [women] have immediate admission to all the rights and privileges which belong to them as women. Answer choices:",I,II and III,III,I and III,I and II,C
1131,us_history,The Carter Administration faced,the Iran-Contra scandal.,the energy crisis.,record deficits.,Iraq's invasion of Kuwait.,revolution in Jamaica.,B
1132,us_history,Nixon resigned because,he was impeached.,the Senate voted to impeach him.,there were too many demonstrations.,he was threatened with impeachment and did not have support in the Senate.,he had lied to Congress.,D
1133,us_history,Match the author with the book: A)    Rachel Carson B)    Betty Friedan C)    Kate Millet D)    Paul Ehrlich E)    Carl Bernstein and Bob Woodward 1)    Sexual Politics 2)    All the President's Men 3)    The Population Bomb 4)    Silent Spring 5)    The Feminine Mystique Answer choices:,"A-4, B-1, D-2, E-3","B-1, C-5, D-2, E-3","B-5, C-3, D-4, E-2","A-1, C-5, D-3, E-2","A-4, B-5, C-1, D-3",E
1134,us_history,Ronald Reagan was called the Great Communicator because,he always told the truth.,he memorized his speeches.,he connected with people.,he had been an actor.,it was his nickname as a radio announcer.,C
1135,us_history,Supply-side economics was designed to,increase demand by cutting taxes.,provide more goods and services.,provide money for new business investment by cutting taxes.,make government grow.,cut the size of the government.,C
1136,us_history,Who did not vote for Bush in large numbers in 1988?,Southerners,Women,Those with high incomes,Residents of Maine,Reagan Democrats,B
1137,us_history,"Which issue is least emphasized by ""family values"" advocates?",Abortion,Stay-at-home mothers,Religion,Homosexuality,Education,E
1138,us_history,Bill Clinton's presidency was marked by,a period of prosperity for the nation.,an absence of political dissension between the Republicans and the Democrats.,peace between the Israelis and the Palestinians.,an isolationist foreign policy.,the passage of the Contract with America.,A
1139,us_history,The people of the United States demonstrated their disapproval of Clinton's first two years in office by,holding demonstrations in Washington to express their displeasure.,appointing a special counsel to investigate Bill Clinton.,electing Republicans to Congress in 1994.,electing New Democrats to Congress in 1994.,impeaching Bill Clinton.,C
1140,us_history,Bill Clinton supported free-trade policies by signing the,free-trade agreement with France.,North American Free Trade Agreement.,Dayton Accord.,order imposing sanctions on Japanese trade with the United States.,agreement to establish multinational companies.,B
1141,us_history,The Election of 2000 was significant because,the Supreme Court of Florida decided the election.,"Katherine Harris, a Democrat, validated the election.",Al Gore won more popular votes than George W. Bush but lost the election.,"Jeb Bush, the brother of George W. Bush, was governor of Florida.",George W. Bush was the first son to follow his father into the presidency.,C
1142,us_history,"In his 2001 ""War on Terror"" speech to Congress, George W. Bush demanded the Taliban do all of the following EXCEPT",immediately close all terrorist camps.,release all foreign prisoners.,transfer all terrorists on Afghani soil to the United States.,hand over Saddam Hussein.,give U.S. troops access to terror camps to ensure compliance.,D
1143,us_history,Mortgage-backed securities are,bundles of subprime mortgages traded like stocks.,low-interest loans offered to people with troubled credit histories.,another name for adjustable-rate mortgages.,recession-proof investments.,stable assets.,A
1144,us_history,George W. Bush's immigration reform policy can best be described as,amnesty for all people who immigrated to the U.S. illegally.,"unrealistic, in that it refused to acknowledge illegal immigrants who were already working in the United States.",a policy to deport immediately all illegal immigrants.,a pathway to citizenship for illegal immigrants already working in the United States coupled with measures to restrict more from entering.,a way to safeguard American jobs for U.S. citizens.,D
1145,us_history,The Bush Doctrine refers to,"a policy of unilateral, preemptive strikes against suspected terrorist threats against the United States and its allies.",a program of tax cuts to spark economic activity.,a policy of creating an international coalition of forces to crush terrorist threats.,rebuilding the Gulf Coast after Hurricane Katrina.,a systematic plan to encourage environmental initiatives to prevent global warming.,A
