id,subject,prompt,A,B,C,D,E,answer
16,world_history,Which factor was MOST responsible for the collapse of the Mughal Empire?,Enemy invasion,Religious unrest,Economic distress,Peasant revolts,Succession disputes,E
17,world_history,The Northern Renaissance MOST differed from the Italian Renaissance in that it,failed to significantly emphasize the visual arts,placed greater importance on religious devotion,largely rejected the concept of humanism,did not increase the prevalence of secularism,increased dissonance among Christians,B
18,world_history,Who developed and taught the doctrine of predestination?,John Knox,Martin Luther,Ulrich Zwingli,John Calvin,Thomas More,D
19,world_history,Portugal's MAIN motivation for seeking an alternate route to the East was to,establish a direct trading relationship with China,compete with Spain and its holdings in the New World,end the Italian and Muslim dominance of trade,lay claim to all trade rights in the Indian Ocean,begin colonizing key areas of Southwest Asia,C
20,world_history,The Seven Years' War was MOST beneficial for which nation?,Britain,France,Russia,Spain,Italy,A
21,world_history,Which of these was part of the French National Assembly's initial plan for government reform?,Constitutional republic,Dictatorship,Limited monarchy,Absolute monarchy,Democracy,C
22,world_history,"The Bill of Rights signed by William and Mary prevented the English monarch from doing all of the following, EXCEPT",interfering with freedom of speech in Parliament,levying taxes without legislative approval,suspending any law passed by Parliament,refusing to hear grievances made by citizens,imprisoning subjects without due cause,E
23,world_history,The Louisiana Purchase provided France with significant funding for,rehabilitating the economy after Louis XVI's extravagant spending,establishing a new republican government following the failure of the previous one,overthrowing the monarch and starting a new government under the Jacobins,financing Napoléon's campaign to conquer Europe and build a French Empire,rebuilding the nation after the defeat at the Battle of Waterloo,D
24,world_history,Simón Bolívar was MOST interested in leading revolutions against Spain in the Americas because he wanted to,rule the entire region as a dictator,establish a unified Latin American state,force the Spanish into North America,isolate the region from outside influences,transfer colonial control from Spain to France,B
25,world_history,"In taking the Tennis Court Oath, the National Assembly vowed to",establish a republican government,overthrow the oppressive monarchy,boycott all unfair taxes,write a new state constitution,install a military dictatorship,D
26,world_history,The beginning of the Industrial Revolution in England primarily resulted from,widespread overpopulation,increased trade,national prosperity,agricultural innovation,abundance of resources,D
27,world_history,The Berlin Conference of 1884-85 was a meeting of European imperialist powers designed to peacefully negotiate,terms of trade with China,control over the African continent,disputes over ports in Southeast Asia,rights to former Ottoman territories,international trading policies in Europe,B
28,world_history,The Boxer Rebellion of the late nineteenth and early twentieth centuries was a response to the,forced opening of Japanese ports,oppressive rule of the British in India,foreign intrusion into China,economic distress caused by the French in Vietnam,dominance of the Dutch in Indonesia,C
29,world_history,Economist Adam Smith's laissez-faire theory supported the notion that governments should,refrain from interfering with private business,exercise direct control over private business,regulate private business only in times of crisis,maintain a set of minimal business regulations,regulate only domestic businesses,A
30,world_history,Economic imperialism was different from other forms of colonial dominance in that the,colonial territory was entirely dependent on the imperial power,imperialist power directly controlled the government of the colonial territory,region under imperialist influence was controlled by private businesses,imperialist power held exclusive trading rights over a region,colonial territory was allowed to operate its own independent government,C
31,world_history,Why were Hitler's attacks on Great Britain during World War II ultimately unsuccessful?,The Luftwaffe was unable to inflict significant damage.,American forces came to Britain's aid.,The attacks were too costly for the Nazis to sustain.,German forces could not carry out a ground attack.,The British were able to track Nazi planes with radar.,E
32,world_history,"In 1917, the United States entered World War I after learning of a German plot to",seize control of U.S. territories in Southeast Asia,launch a surprise attack on U.S. naval forces,help Mexico retake land it had lost to the United States,attack several U.S. major coastal cities,destroy any U.S. ocean liners encountered,C
33,world_history,"During the civil war in Russia, most of the people supported Lenin's Red Army because they",feared the White Army would return the czar to power,were promised great economic prosperity by Lenin,wanted to isolate themselves from Western influences,were coerced by aggressive communist propaganda,believed the Red Army would attack them otherwise,A
34,world_history,What did the term Anschluss mean to Hitler and the Germans?,A surprise attack on enemy forces,The purification of the Aryan race,An invasion of France and Britain,The unification of Germany and Austria,A secret police force,D
35,world_history,The American military resorted to the use of atomic weapons because,American troops had no way to enter the Japanese mainland,a ground invasion would result in too many casualties,American forces would not be able to access necessary resources on the mainland,Japanese ground forces were supported by additional Korean forces,the American public wanted the war to end as quickly as possible,B
36,world_history,What is the primary reason the Soviet Union installed communist regimes in Eastern Europe after World War II?,To prevent the spread of democracy,To insulate itself from the West,To take control of trade in the region,To increase its supply of natural resources,To help spread communism through Europe,B
37,world_history,Why did the Korean War ultimately end in a stalemate?,Because UN forces were unable to penetrate North Korean territory,Because the South Korean government was not supported by the Korean people,Because Soviet forces threatened to enter the battle on North Korea's behalf,Because the Chinese entered the war and forced UN troops to retreat,Because the North Koreans did not have the resources to take South Korea entirely,D
38,world_history,"In response to Ho Chi Minh's victory over the French in 1954, the Geneva Conference",formally condemned Ho and called for his removal,recognized Vietnam as an entirely independent nation,split Vietnam into a communist north and democratic south,enacted international economic embargoes against Vietnam,petitioned the United Nations to send troops to restore French control,C
39,world_history,"The war that followed the formation of the Jewish state of Israel resulted in all of the following, EXCEPT",Israeli control of the West Bank,the establishment of Palestinian refugee camps,Israeli seizure of land intended for the Palestinians,Egyptian control over the Gaza Strip,Israeli victory over Arab forces,A
40,world_history,Mikhail Gorbachev's policy of perestroika was an attempt to stabilize the Soviet Union by,encouraging discussion about government,reducing political corruption,restructuring the economy,allowing more foreign trade,promoting the further spread of communism,C
41,world_history,Which of these has been the MOST important factor in the rise of globalized trade?,Increase in world population,Emergence of multinational corporations,Decline in regional national resources,Breakdown of protective tariffs,Enhancement of communications technologies,D
42,world_history,The Declaration of Human Rights issued by the United Nations in 1948 explicitly stated that all human beings have the right to,"freedom, equality, and justice","life, liberty, and security of person","liberty, self-governance, and protection of the law","freedom, security, and religious tolerance","life, liberty, and the pursuit of happiness",B
43,world_history,Which terrorist incident was the first to receive major mainstream media attention?,Oklahoma City bombing,Iran hostage crisis,Israeli athletes at Munich,First World Trade Center bombing,"September 11, 2001",C
44,world_history,Which of these is the MOST significant cause of global warming?,Global overpopulation,Increased urbanization,Nuclear energy,Burning of fossil fuels,Widespread deforestation,D
45,world_history,In 1997 the United Nations attempted to address the issue of global warming by,producing a treaty meant to help control greenhouse gases,conducting its own independent study of the phenomenon,asking industrial leaders to reduce their carbon dioxide emissions,encouraging the development of alternative energy sources,launching a worldwide global-warming awareness campaign,A
46,world_history,The Mauryan emperor Ashoka's reign was characterized by,honest proclamations and positive behavior,incessant warfare and brutality toward citizens,oppressive and ascetic totalitarian government,construction of expansive monuments and buildings,drastic rejection of Buddhist principles,A.
47,world_history,Socialists such as Friedrich Engels argued that,society is necessary to protect individuals from the chaotic brutality inherent to human nature,governments can be truly just only when they directly represent the people under their rule,nations must compete for power and fortune just as animals compete for supremacy in nature,financial wealth and resources should be distributed evenly among the citizens of a nation,every citizen has a duty to devote his or her life to the betterment of the nation or culture,D.
49,world_history,Which of these describes Hammurabi's most significant contribution to civilization?,The defeat and destruction of Assyrian invasion armies around 675 BCE,A precedent of peaceful negotiations with the rulers of Southwest Asia,The ushering of Egypt into the period known as the Old Kingdom,The design and construction of the legendary Hanging Gardens of Babylon,A comprehensive system of laws by which a kingdom could be governed,E.
50,world_history,What was Sigmund Freud's intent with his breakthrough publication Die Traumdeutung?,Reconciling taboo desires,Interpreting the meaning of dreams,Exploring societal and gender roles,Debunking theories of hypnosis,Treating emotional hysteria,B.
51,world_history,The nomadic practices of the Mongols proved MOST beneficial to the conquering of other peoples in that these practices,"helped the Mongols to amass great stores of riches, food, and weapons",encouraged toughness and endurance among the Mongols,improved Mongol horsemanship and mobility and allowed them to strike quickly,enhanced the Mongols' ability to survive in different environments,served to increase the Mongol population and its armies,C.
52,world_history,The Green Revolution was important in modern times because it,raised global support for environmental preservation initiatives,encouraged the development and use of renewable energy sources,aggressively advocated for equal rights for women and children,brought greater political stability to the nations of Eastern Europe,increased crop yields to combat starvation in developing nations,E.
53,world_history,Which event marked the first year in the Muslim calendar?,Muhammad completed the Koran.,Muhammad was born.,Muhammad joined a caravan to Syria.,Muhammad died.,Muhammad journeyed from Mecca to Medina.,E.
55,world_history,The South African policy of apartheid was specifically designed to,prevent the spread of communism into the region,limit foreign influence on internal political matters,encourage trade with Europe and the Americas,ensure Afrikaners political dominance of the country,stabilize the nation in its early years of independence,D
56,world_history,Which modern fields have been most affected by the accomplishments of the ancient Greeks and Romans?,Ethics and religion,Medicine and hygiene,Politics and government,Finances and trade,Science and technology,C
57,world_history,"In European history, the term Lebensraum, or ""living space,"" most commonly refers to the",German desire for expansion in the twentieth century,forced relocation of ethnic minorities into ghetto towns,rejection of industrialization and urbanization,celebration of the bucolic ideal in art and literature,immigration to North America in the twentieth century,A
58,world_history,Conflicts between which two religions resulted in the Edict of Nantes (1598)?,Jainism and Islam,Calvinism and Lutheranism,Roman Catholicism and Protestantism,Hinduism and Buddhism,Sikhism and Orthodox Judaism,C
59,world_history,What was the primary motivation for most Irish citizens who immigrated to North America in the nineteenth century?,Find freedom of religion,Locate support for Irish independence,Escape national famine,Avoid conscription in the British army,Protest British imperialism,C
60,world_history,"In the Hindu caste system, members of the Shudra caste originally served as",servants and workers,kings and nobles,traders and merchants,soldiers and courtiers,priests and teachers,A
61,world_history,The Olmec civilization occupied the modern-day lands known as,Baja California Peninsula,Western Mexico's Pacific Coast,Guatemala and Northern Belize,Southern Mexico's Gulf Coast,Amazon basin and rainforest,D
62,world_history,"""Whatsoever therefore is consequent to a time of war, where every man is enemy to every man, the same consequent to the time wherein men live without other security than what their own strength and their own invention shall furnish them withal. In such condition there is…continual fear, and danger of violent death; and the life of man, solitary, poor, nasty, brutish, and short."" The above statement expresses the views of which historical figure?",Thomas Hobbes,John Calvin,Jean-Jacques Rousseau,Niccolò Machiavelli,Thomas Aquinas,A
63,world_history,Japan underwent change during the Meiji Restoration that most closely resembled change in,Persia under the rule of the Hephthalites,Russia during the reign of Czar Peter I,Judea under Roman occupation,Sri Lanka prior to British colonization,France during the Revolutionary era,B
64,world_history,"The Duma, active in Russia from 1906 to 1917, can BEST be described as a/an",revolutionary secret society,anticommunist political party,elected legislative body,secret government police force,union of industrial workers,C
65,world_history,The Byzantine Empire collapsed after more than one thousand years in existence primarily because of the,ascension of Frederick III to Holy Roman Emperor in 1452,Great Schism that began around 1378,Ottoman conquest of Constantinople in 1453,end of Russian tributes to the Golden Horde in 1462,French victories that ended the Hundred Years' War in 1453,C
66,world_history,Books such as George Orwell's Nineteen  Eighty-Four and Aldous Huxley's Brave New World are major twentieth-century examples of what literary form?,Tragicomedy,Satirical fiction,Epistolary fiction,Dystopian novel,Feminist novel,D
